x,y,nominal_x,nominal_y
21.0,12.000092,21.0,19.843
21.0,12.000092,21.0,19.812
21.0,12.000092,21.0,19.781
21.0,12.000092,21.0,19.75
21.0,12.000092,21.0,19.719
21.0,12.000092,21.0,19.688
21.0,12.000092,21.0,19.657
21.0,12.000092,21.0,19.626
21.0,12.000092,21.0,19.595
21.0,12.000092,21.0,19.564
21.0,12.000092,21.0,19.533
21.0,12.000092,21.0,19.502
21.0,12.000092,21.0,19.471
21.0,12.000092,21.0,19.44
21.0,12.000092,21.0,19.409
21.0,12.000092,21.0,19.378
21.0,12.000092,21.0,19.347
21.0,12.000092,21.0,19.316
21.0,12.000092,21.0,19.285
21.0,12.000092,21.0,19.254
21.0,12.000092,21.0,19.223
21.0,12.000092,21.0,19.192
21.0,12.000092,21.0,19.161
21.0,12.000092,21.0,19.13
21.0,12.000092,21.0,19.099
21.0,12.000092,21.0,19.068
21.0,12.000092,21.0,19.037
21.0,12.000092,21.0,19.006
21.0,12.000092,21.0,18.975
21.0,12.000092,21.0,18.944
21.0,12.000092,21.0,18.913
21.0,12.000092,21.0,18.882
21.0,12.000092,21.0,18.851
21.0,12.000092,21.0,18.82
21.0,12.000092,21.0,18.789
21.0,12.000092,21.0,18.758
21.0,12.000092,21.0,18.727
21.0,12.000092,21.0,18.696
21.0,12.000092,21.0,18.665
21.0,12.000092,21.0,18.634
21.0,12.000092,21.0,18.603
21.0,12.000092,21.0,18.572
21.0,12.000092,21.0,18.541
21.0,12.000092,21.0,18.51
21.0,12.000092,21.0,18.479
21.0,12.000092,21.0,18.448
21.0,12.000092,21.0,18.417
21.0,12.000092,21.0,18.386
21.0,12.000092,21.0,18.355
21.0,12.000092,21.0,18.324
21.0,12.000092,21.0,18.293
21.0,12.000092,21.0,18.262
21.0,12.000092,21.0,18.231
